GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_MOE_VC51,Occupied housing units; Margin of Error; HOUSE HEATING FUEL - All other fuels
HC02_EST_VC51,Owner-occupied housing units; Estimate; HOUSE HEATING FUEL - All other fuels
HC02_MOE_VC51,Owner-occupied housing units; Margin of Error; HOUSE HEATING FUEL - All other fuels
HC03_EST_VC51,Renter-occupied housing units; Estimate; HOUSE HEATING FUEL - All other fuels
HC03_MOE_VC51,Renter-occupied housing units; Margin of Error; HOUSE HEATING FUEL - All other fuels
HC01_EST_VC52,Occupied housing units; Estimate; HOUSE HEATING FUEL - No fuel used
HC01_MOE_VC52,Occupied housing units; Margin of Error; HOUSE HEATING FUEL - No fuel used
HC02_EST_VC52,Owner-occupied housing units; Estimate; HOUSE HEATING FUEL - No fuel used
HC02_MOE_VC52,Owner-occupied housing units; Margin of Error; HOUSE HEATING FUEL - No fuel used
HC03_EST_VC52,Renter-occupied housing units; Estimate; HOUSE HEATING FUEL - No fuel used
HC03_MOE_VC52,Renter-occupied housing units; Margin of Error; HOUSE HEATING FUEL - No fuel used
